id,state,abbr,poverty,male,medianage,copd,smoker,stroke
1,Alabama,AL,19.3,48.4,38.6,10.2,21.1,4.7
2,Alaska,AK,11.2,52.3,33.3,4.4,19.9,2.4
3,Arizona,AZ,18.2,49.7,36.9,6.9,16.5,3
4,Arkansas,AR,18.9,49.1,37.8,9,24.7,5.1
5,California,CA,16.4,49.6,36,4.9,12.9,2.7
6,Colorado,CO,12,50.3,36.3,4,15.7,1.8
7,Connecticut,CT,10.8,48.8,40.5,5.1,15.4,2.6
8,Delaware,DE,12.5,48.5,39.6,6.5,19.9,3.2
9,District of Columbia,DC,17.7,47.4,33.8,5.6,16.4,3.3
10,Florida,FL,16.5,48.9,41.6,7.6,17.7,3.4
11,Georgia,GA,18.3,48.7,36.1,7.4,17.4,3.3
12,Hawaii,HI,11.4,50.5,38.1,3.8,14.1,3.1
13,Idaho,ID,14.8,50,35.9,4.9,15.9,2.9
14,Illinois,IL,14.4,49.1,37.5,5.8,16.5,2.9
15,Indiana,IN,15.2,49.2,37.4,8.7,22.9,3.2
16,Iowa,IA,12.2,49.7,38.2,5.7,18.5,2.7
17,Kansas,KS,13.6,49.8,36.2,6.6,18.1,3.2
18,Kentucky,KY,19.1,49.3,38.5,12.3,26.2,4.2
19,Louisiana,LA,19.8,48.9,36.1,7.6,24,3.8
20,Maine,ME,14.1,48.7,44.1,7.8,19.3,3.1
21,Maryland,MD,10.1,48.5,38.3,5.8,14.6,3.1
22,Massachusetts,MA,11.6,48.5,39.4,6.5,14.7,2.7
23,Michigan,MI,16.2,49.1,39.6,8.8,21.2,3.3
24,Minnesota,MN,11.5,49.7,37.8,4.4,16.3,2.2
25,Mississippi,MS,21.5,48.7,36.7,7.4,23,4.5
26,Missouri,MO,15.5,49,38.5,8.2,20.6,3.7
27,Montana,MT,15.4,50.2,39.6,6.8,19.9,2.7
28,Nebraska,NE,12.4,49.8,36.2,5.8,17.3,2.6
29,Nevada,NV,15.2,50.3,37.4,6.9,17,3.2
30,New Hampshire,NH,9.2,49.4,42.5,6.5,17.5,2.3
31,New Jersey,NJ,11.1,48.8,39.4,5.6,15.1,2.6
32,New Mexico,NM,21.3,49.5,37.2,5.7,19.2,2.9
33,New York,NY,15.9,48.5,38.2,5.8,14.4,2.4
34,North Carolina,NC,17.2,48.7,38.3,7.8,19.1,3.7
35,North Dakota,ND,11.5,50.9,35.1,4.7,19.9,2.4
36,Ohio,OH,15.8,49,39.4,8.2,21,3.5
37,Oklahoma,OK,16.6,49.5,36.2,8,21.1,3.5
38,Oregon,OR,16.6,49.5,39.3,5.7,17,2.8
39,Pennsylvania,PA,13.6,48.9,40.7,6.8,19.9,3.3
40,Rhode Island,RI,14.3,48.5,39.8,5.7,16.3,2.5
41,South Carolina,SC,18,48.7,38.8,7.6,21.5,3.7
42,South Dakota,SD,14.2,50.1,36.6,5.6,18.6,3
43,Tennessee,TN,18.3,48.7,38.6,10.7,24.2,4.2
44,Texas,TX,17.2,49.7,34.3,5.3,14.5,3
45,Utah,UT,11.7,50.3,30.5,3.6,9.7,2.2
46,Vermont,VT,12.2,49.2,42.8,6.3,16.4,2.3
47,Virginia,VA,11.8,49.2,37.7,6.4,19.5,2.8
48,Washington,WA,13.2,50,37.5,6,15.3,2.9
49,West Virginia,WV,18.3,49.4,41.9,13.5,26.7,4.6
50,Wisconsin,WI,13.2,49.6,39.2,5.2,17.4,2.9
51,Wyoming,WY,11.2,50.9,36.6,6.7,19.5,2.8