,City Name,Country Code,Temperature(F),Humidity(%),Cloudiness (%),Wind Speed (mph),Latitude
0,port elizabeth,za,38.88,44.0,75.0,17.22,39.31
1,vaini,to,63.25,78.0,8.0,2.98,15.34
2,bredasdorp,za,64.4,63.0,92.0,3.36,-34.53
3,ixtapa,mx,75.2,88.0,75.0,10.29,20.71
4,rikitea,pf,80.3,100.0,68.0,20.76,-23.12
5,borogontsy,ru,-19.51,56.0,0.0,2.75,62.67
6,jamestown,sh,78.5,46.0,0.0,5.21,-33.21
7,kavieng,pg,82.91,100.0,88.0,7.56,-2.57
8,honningsvag,no,17.6,78.0,75.0,2.24,70.98
9,kodiak,us,53.6,34.0,1.0,12.75,39.95
10,carnarvon,au,51.23,43.0,32.0,3.2,-30.97
11,byron bay,au,71.6,83.0,90.0,11.41,-28.65
12,albany,au,33.78,55.0,75.0,14.99,42.65
13,thompson,ca,24.8,41.0,75.0,6.93,55.74
14,antalaha,mg,74.5,100.0,48.0,3.76,-14.9
15,ushuaia,ar,46.4,61.0,40.0,5.82,-54.81
16,airai,pw,73.06,91.0,36.0,1.74,-8.93
17,maldonado,uy,71.6,83.0,0.0,2.24,-34.91
18,ucluelet,ca,46.4,61.0,20.0,6.93,48.94
19,butaritari,ki,82.55,100.0,68.0,12.71,3.07
20,sinjar,iq,49.25,81.0,8.0,6.55,35.59
21,torbay,ca,28.4,100.0,75.0,20.8,47.66
22,cape town,za,64.4,63.0,20.0,6.93,-33.93
23,margate,za,66.2,68.0,75.0,9.17,-43.03
24,znamenskoye,ru,2.18,68.0,64.0,2.98,57.13
25,kropotkin,ru,35.3,93.0,92.0,11.03,45.43
26,praia da vitoria,pt,50.0,81.0,40.0,38.88,38.73
27,viedma,ar,64.55,67.0,0.0,15.28,-40.81
28,saskylakh,ru,-9.16,67.0,76.0,5.1,71.97
29,faya,td,58.12,82.0,0.0,2.75,18.39
30,price,us,59.0,13.0,1.0,17.22,39.6
31,coruripe,br,81.11,97.0,0.0,17.63,-10.12
32,moranbah,au,75.35,62.0,80.0,17.29,-22.0
33,valparaiso,cl,35.96,47.0,1.0,6.93,41.47
34,kyabram,au,74.41,64.0,0.0,7.11,-36.31
35,castro,cl,51.55,82.0,56.0,3.53,-42.48
36,avarua,ck,86.0,74.0,75.0,10.29,-21.21
37,tuktoyaktuk,ca,-3.61,77.0,20.0,16.11,69.44
38,bandarbeyla,so,76.52,100.0,0.0,11.14,9.49
39,cienfuegos,cu,74.82,69.0,0.0,6.93,22.15
40,sitrah,bh,71.44,60.0,5.0,8.05,26.15
41,ancud,cl,51.05,79.0,68.0,1.41,-41.87
42,riyadh,sa,69.8,31.0,0.0,9.01,24.63
43,hobyo,so,75.08,83.0,0.0,13.6,5.35
44,ulladulla,au,71.6,60.0,75.0,3.36,-35.36
45,hofn,is,31.79,100.0,8.0,17.07,64.25
46,hilo,us,64.27,68.0,90.0,8.05,19.71
47,whitecourt,ca,33.8,50.0,20.0,16.11,54.14
48,hobart,au,66.2,68.0,75.0,9.17,-42.88
49,punta arenas,cl,48.2,57.0,0.0,11.41,-53.16
50,pangkalanbuun,id,73.64,99.0,48.0,4.21,-2.68
51,arraial do cabo,br,74.45,100.0,92.0,7.67,-22.97
52,cayenne,gf,78.8,78.0,75.0,6.93,4.94
53,dikson,ru,-6.06,88.0,32.0,18.19,73.51
54,busselton,au,65.41,100.0,64.0,25.12,-33.64
55,astana,kz,19.4,92.0,90.0,8.95,51.13
56,hermanus,za,54.88,82.0,88.0,1.97,-34.42
57,ponta do sol,cv,69.55,97.0,80.0,2.98,-20.63
58,kahului,us,69.66,57.0,75.0,21.92,20.89
59,waingapu,id,78.28,92.0,68.0,5.99,-9.65
60,georgetown,sh,78.8,83.0,20.0,6.93,6.8
61,ujhani,in,62.8,67.0,0.0,9.24,28.0
62,san lawrenz,mt,57.2,100.0,20.0,5.82,36.06
63,bluff,nz,80.66,50.0,24.0,16.84,-23.58
64,sitka,us,66.31,23.0,24.0,6.22,37.17
65,ketchikan,us,42.8,100.0,90.0,14.99,55.34
66,kingisepp,ru,25.76,86.0,88.0,6.11,59.38
67,matara,lk,45.83,97.0,48.0,1.41,-13.74
68,vyartsilya,ru,24.14,91.0,92.0,11.03,62.18
69,norman wells,ca,14.0,61.0,75.0,6.93,65.28
70,hithadhoo,mv,83.36,100.0,88.0,14.83,-0.6
71,pangnirtung,ca,3.2,65.0,90.0,5.82,66.15
72,qandala,so,53.53,100.0,0.0,2.19,11.47
73,luderitz,na,60.8,87.0,0.0,8.05,-26.65
74,sola,vu,26.6,86.0,90.0,6.93,62.78
75,soe,id,32.0,96.0,92.0,8.05,57.91
76,streator,us,37.4,47.0,1.0,4.7,41.12
77,clyde river,ca,-13.01,75.0,40.0,16.11,70.47
78,lata,sb,36.02,66.0,0.0,2.75,30.78
79,ugoofaaru,mv,82.6,100.0,0.0,10.47,5.67
80,mataura,pf,59.11,74.0,20.0,7.45,-46.19
81,tiksi,ru,-26.85,42.0,12.0,5.77,71.64
82,lodja,cd,71.21,97.0,36.0,2.98,-3.52
83,khromtau,kz,10.1,85.0,0.0,7.56,50.26
84,noumea,nc,69.8,100.0,90.0,16.11,-22.28
85,cherskiy,ru,-19.24,57.0,36.0,3.76,68.75
86,kapaa,us,72.57,60.0,75.0,21.92,22.08
87,esperance,au,78.8,74.0,20.0,5.82,10.24
88,lidkoping,se,26.6,92.0,80.0,2.24,58.51
89,rio gallegos,ar,44.6,75.0,75.0,13.87,-51.62
90,sambava,mg,77.56,100.0,12.0,9.01,-14.27
91,ilulissat,gl,-11.21,52.0,5.0,1.12,69.22
92,ambon,id,53.6,87.0,0.0,6.93,47.55
93,east london,za,69.28,100.0,8.0,14.16,-33.02
94,lebu,cl,39.98,65.0,0.0,1.97,8.96
95,amga,ru,-13.03,59.0,20.0,3.53,60.89
96,san cristobal,ec,57.2,71.0,75.0,20.8,-0.39
97,la ronge,ca,23.0,67.0,90.0,11.41,55.1
98,chokurdakh,ru,-31.03,53.0,8.0,5.21,70.62
99,tilichiki,ru,-1.11,80.0,68.0,4.21,60.47
100,gigmoto,ph,76.03,100.0,92.0,14.05,13.78
101,mar del plata,ar,58.21,48.0,56.0,19.64,-46.43
102,sioux lookout,ca,27.66,35.0,20.0,6.93,50.1
103,elizabeth city,us,45.32,42.0,1.0,8.05,36.3
104,kavaratti,in,84.13,100.0,0.0,9.13,10.57
105,barrow,us,79.45,35.0,0.0,10.13,-38.31
106,husavik,is,13.66,74.0,0.0,5.66,50.56
107,bogande,bf,72.47,51.0,0.0,2.98,12.97
108,ashford,gb,50.88,87.0,92.0,13.87,51.15
109,sayan,pe,60.5,61.0,0.0,2.42,15.88
110,saint-francois,gp,51.8,76.0,68.0,14.99,46.42
111,tiarei,pf,87.8,66.0,40.0,4.7,-17.53
112,nikolskoye,ru,30.2,74.0,75.0,6.71,59.7
113,kralendijk,an,80.6,78.0,20.0,23.04,12.15
114,blagoveshchensk,ru,-11.21,76.0,0.0,2.24,50.29
115,pavilosta,lv,35.6,100.0,68.0,2.24,56.89
116,mareeba,au,80.6,78.0,40.0,14.99,-16.99
117,college,us,27.19,79.0,75.0,8.05,64.86
118,deputatskiy,ru,-33.96,58.0,8.0,2.64,69.3
119,novyy urengoy,ru,-1.11,80.0,76.0,5.55,66.08
120,djenne,ml,81.25,26.0,0.0,12.15,13.91
121,state college,us,28.38,63.0,90.0,12.75,40.79
122,sao jose da coroa grande,br,77.56,90.0,8.0,10.58,-8.9
123,evanston,us,35.2,50.0,1.0,9.17,42.04
124,pisco,pe,73.4,73.0,0.0,24.16,-13.71
125,vanimo,pg,83.36,100.0,12.0,16.51,-2.67
126,bubaque,gw,77.0,69.0,0.0,6.93,11.28
127,kaitangata,nz,58.61,75.0,36.0,9.13,-46.28
128,saldanha,za,51.95,97.0,92.0,18.63,41.42
129,hesla,in,54.61,76.0,0.0,5.1,24.07
130,khatanga,ru,-18.48,54.0,44.0,10.02,71.98
131,severo-kurilsk,ru,36.61,90.0,92.0,16.06,50.68
132,geraldton,au,23.0,57.0,90.0,4.7,49.72
133,sorong,id,79.9,100.0,92.0,5.1,-0.86
134,tres arroyos,ar,79.45,35.0,0.0,10.13,-38.38
135,tasiilaq,gl,19.4,67.0,80.0,13.87,65.61
136,bekhtery,ua,38.0,97.0,44.0,9.24,46.25
137,tual,id,83.23,100.0,32.0,14.16,-5.67
138,athni,in,60.05,75.0,0.0,1.74,16.73
139,nanortalik,gl,25.13,100.0,0.0,26.57,60.14
140,hearst,ca,20.09,78.0,76.0,7.23,49.69
141,brigantine,us,38.82,44.0,90.0,11.41,39.41
142,atuona,pf,82.28,98.0,56.0,20.09,-9.8
143,north bend,us,50.83,71.0,90.0,12.75,43.41
144,puerto escondido,mx,82.4,74.0,5.0,9.17,15.86
145,dalby,au,68.0,72.0,75.0,17.22,-27.18
146,mayo,ca,30.2,46.0,75.0,16.11,63.59
147,phonhong,la,60.8,77.0,75.0,1.52,18.5
148,zhaozhou,cn,11.45,89.0,76.0,12.71,45.71
149,nordfjordeid,no,35.6,80.0,80.0,9.17,61.91
150,gresham,us,52.3,50.0,1.0,8.05,45.51
151,saint-philippe,re,31.53,59.0,1.0,3.36,45.36
152,sao joao da barra,br,75.2,78.0,40.0,6.93,-21.64
153,lompoc,us,61.77,82.0,1.0,12.75,34.64
154,provideniya,ru,7.22,100.0,20.0,23.78,64.42
155,yellowknife,ca,17.6,67.0,20.0,9.17,62.45
156,savannah bight,hn,78.73,98.0,32.0,15.05,16.45
157,anloga,gh,84.2,79.0,20.0,10.29,5.79
158,ola,ru,10.4,72.0,75.0,13.42,59.58
159,mahebourg,mu,71.6,88.0,20.0,5.82,-20.41
160,zhezkazgan,kz,25.67,82.0,92.0,3.2,47.8
161,iqaluit,ca,14.0,85.0,90.0,18.34,63.75
162,batagay,ru,-30.49,50.0,0.0,2.98,67.65
163,araouane,ml,64.78,32.0,0.0,5.21,18.9
164,tahoua,ne,75.13,25.0,0.0,11.25,14.89
165,monrovia,lr,77.0,94.0,20.0,5.44,6.33
166,port macquarie,au,68.0,77.0,75.0,4.7,-31.43
167,touros,br,79.31,89.0,20.0,8.12,-5.2
168,naze,jp,76.52,83.0,24.0,6.22,5.43
169,mitsamiouli,km,83.0,98.0,64.0,9.24,-11.38
170,cap malheureux,mu,71.6,88.0,20.0,5.82,-19.98
171,banda aceh,id,73.55,97.0,0.0,3.76,5.56
172,zaysan,kz,28.73,78.0,64.0,4.65,47.47
173,port alfred,za,65.05,95.0,24.0,12.82,-33.59
174,inuvik,ca,1.83,60.0,20.0,9.17,68.36
175,manama,bh,65.84,82.0,0.0,2.75,25.33
176,bemidji,us,30.85,46.0,1.0,4.7,47.48
177,altay,cn,19.33,76.0,88.0,2.08,47.83
178,salto,uy,75.35,62.0,0.0,4.21,-31.39
179,itaituba,br,79.67,82.0,20.0,4.09,-4.26
180,puerto madero,mx,79.41,61.0,0.0,9.17,-34.61
181,grindavik,is,29.44,92.0,90.0,17.22,63.84
182,saint-ambroise,ca,53.6,76.0,0.0,11.41,47.25
183,winneba,gh,82.4,83.0,75.0,10.29,5.35
184,port lincoln,au,78.91,59.0,0.0,10.8,-34.72
185,linden,gy,78.8,83.0,20.0,6.93,6.01
186,constitucion,mx,77.0,11.0,90.0,9.17,23.99
187,mlonggo,id,76.3,100.0,64.0,4.09,-6.53
188,karasjok,no,14.0,72.0,68.0,9.17,69.47
189,balud,ph,76.3,100.0,20.0,5.1,12.22
190,upernavik,gl,-16.9,100.0,0.0,4.65,72.79
191,marica,br,76.53,78.0,75.0,5.82,-22.92
192,bereda,so,59.0,77.0,75.0,20.8,43.27
193,padang,id,79.18,100.0,92.0,1.63,-0.92
194,ouesso,cg,70.36,100.0,32.0,2.19,1.61
195,mapiripan,co,80.3,70.0,12.0,7.56,2.89
196,zhovkva,ua,30.2,86.0,0.0,2.24,50.06
197,new norfolk,au,66.2,68.0,75.0,9.17,-42.78
198,kannangad,in,75.76,100.0,0.0,5.77,12.31
199,saint anthony,ca,40.41,65.0,1.0,19.46,43.97
200,san-pedro,ci,78.91,88.0,8.0,6.11,4.75
201,kilindoni,tz,83.45,100.0,80.0,14.61,-7.91
202,saryg-sep,ru,11.63,77.0,80.0,0.51,51.49
203,sabang,id,73.15,100.0,92.0,8.57,13.72
204,puerto ayora,ec,82.4,74.0,40.0,16.11,-0.74
205,nenjiang,cn,7.04,69.0,68.0,3.09,49.17
206,nyurba,ru,-11.01,55.0,48.0,2.75,63.29
207,koshurnikovo,ru,12.85,75.0,76.0,1.97,54.3
208,kieta,pg,80.71,100.0,80.0,3.76,-6.22
209,broken hill,au,82.15,31.0,0.0,8.79,-31.97
210,erdenet,mn,1.55,69.0,24.0,2.53,49.03
211,makinsk,kz,3.4,71.0,56.0,3.42,52.63
212,shar,kz,80.3,75.0,56.0,9.57,7.3
213,kaputa,zm,63.38,96.0,80.0,2.19,-8.47
214,komsomolskiy,ru,-3.49,76.0,64.0,8.46,67.55
215,chauk,mm,66.98,77.0,0.0,9.8,20.89
216,lorengau,pg,83.86,98.0,44.0,9.01,-2.02
217,necochea,ar,75.17,45.0,0.0,9.24,-38.55
218,hambantota,lk,79.45,100.0,32.0,8.46,6.12
219,nhulunbuy,au,84.2,79.0,32.0,10.29,-12.18
220,marquette,us,26.73,58.0,90.0,10.29,46.54
221,narsaq,gl,14.0,56.0,0.0,3.36,60.91
222,saiha,in,56.23,79.0,0.0,1.41,22.49
223,ribeira grande,pt,60.05,100.0,48.0,37.2,38.52
224,whitianga,nz,69.01,100.0,0.0,17.07,-36.83
225,cerinza,co,59.69,75.0,44.0,2.19,5.96
226,marzuq,ly,41.15,57.0,0.0,2.75,14.4
227,puri,in,72.56,94.0,8.0,3.76,-7.54
228,cabo san lucas,mx,81.57,21.0,20.0,8.05,22.89
229,salalah,om,75.2,78.0,20.0,2.24,17.01
230,san patricio,mx,74.9,62.0,12.0,2.64,-26.98
231,agustin codazzi,co,91.4,46.0,40.0,6.93,10.03
232,aksarka,ru,-3.4,77.0,64.0,12.15,66.56
233,teya,ru,84.2,51.0,40.0,6.93,21.05
234,leh,in,-9.16,70.0,56.0,0.51,34.16
235,verkhnevilyuysk,ru,-16.45,72.0,32.0,5.1,63.45
236,pevek,ru,-5.2,98.0,44.0,14.83,69.7
237,bethel,us,15.8,85.0,40.0,31.09,60.79
238,cidreira,br,71.66,81.0,0.0,14.16,-30.17
239,marienburg,sr,40.12,86.0,0.0,5.82,52.12
240,heishan,cn,20.27,67.0,0.0,10.02,41.69
241,hamilton,bm,62.6,59.0,75.0,20.8,32.3
242,kamaishi,jp,35.6,64.0,75.0,10.29,39.28
243,pandan,ph,77.83,100.0,80.0,15.73,11.72
244,amboasary,mg,77.0,88.0,20.0,11.41,-25.04
245,champerico,gt,95.0,26.0,20.0,6.93,16.38
246,qaanaaq,gl,-17.71,100.0,32.0,3.65,77.48
247,chuy,uy,70.85,76.0,12.0,11.25,-33.69
248,aksu,cn,15.8,92.0,90.0,4.47,52.04
249,zhigansk,ru,-14.74,67.0,48.0,7.78,66.77
250,hamada,jp,33.8,86.0,20.0,3.36,34.9
251,grand gaube,mu,71.6,88.0,20.0,5.82,-20.01
252,kitimat,ca,35.6,93.0,90.0,14.99,54.02
253,nata,bw,56.25,87.0,20.0,5.82,34.78
254,miri,my,64.82,58.0,0.0,2.75,10.31
255,rajo khanani,pk,65.68,54.0,0.0,4.09,24.98
256,mau,in,63.92,59.0,0.0,7.45,25.94
257,nikki,bj,75.89,63.0,0.0,2.75,9.94
258,bukachacha,ru,-4.03,72.0,32.0,2.42,52.99
259,port augusta,au,80.6,30.0,0.0,5.1,-32.49
260,yerbogachen,ru,-1.87,69.0,20.0,5.1,61.28
261,kermanshah,ir,46.4,61.0,0.0,9.17,34.32
262,mayumba,ga,78.77,100.0,36.0,5.77,-3.44
263,saint george,bm,39.2,86.0,0.0,4.7,39.45
264,gimli,ca,13.66,74.0,0.0,5.66,50.63
265,verkhoyansk,ru,-31.21,51.0,0.0,1.41,67.55
266,bela,pk,52.18,72.0,0.0,2.64,26.23
267,naliya,in,60.55,92.0,0.0,7.0,23.26
268,valley,us,42.8,93.0,92.0,14.99,53.28
269,nemuro,jp,29.36,100.0,92.0,21.32,43.32
270,mombetsu,jp,28.28,97.0,48.0,11.59,44.35
271,sao filipe,cv,71.66,93.0,0.0,12.82,14.9
272,zdvinsk,ru,7.58,75.0,88.0,3.09,54.7
273,ocos,gt,87.8,52.0,75.0,11.41,14.51
274,ellsworth,us,32.99,100.0,75.0,4.7,44.54
275,campoverde,pe,46.98,93.0,0.0,4.7,41.54
276,novobureyskiy,ru,0.2,64.0,0.0,2.64,49.8
277,flinders,au,71.6,60.0,75.0,3.36,-34.58
278,kirakira,sb,83.54,100.0,76.0,15.05,-10.46
279,semey,kz,27.43,97.0,92.0,6.44,50.41
280,port hardy,ca,44.6,70.0,75.0,8.05,50.7
281,rocha,uy,66.89,61.0,20.0,7.67,-34.48
282,itarema,br,79.67,85.0,88.0,7.11,-2.92
283,ilheus,br,81.61,99.0,0.0,10.25,-14.79
284,sao miguel do araguaia,br,77.96,91.0,68.0,4.65,-13.28
285,manikpur,in,62.75,41.0,0.0,4.76,25.07
286,bursa,tr,39.2,100.0,24.0,1.12,40.18
287,faanui,pf,83.05,98.0,68.0,12.03,-16.48
288,kruisfontein,za,61.36,90.0,24.0,11.7,-34.0
289,san ramon de la nueva oran,ar,73.82,97.0,36.0,2.42,-23.13
290,abaza,ru,13.88,85.0,80.0,2.42,52.65
291,kazachinskoye,ru,-5.29,55.0,20.0,3.65,57.69
292,yanam,in,73.55,85.0,0.0,3.09,16.73
293,bafoulabe,ml,78.41,29.0,0.0,9.46,13.81
294,guerrero negro,mx,67.7,60.0,0.0,10.13,27.97
295,raudeberg,no,35.6,80.0,80.0,9.17,61.99
296,almeirim,br,61.7,93.0,75.0,28.86,39.21
297,chipinge,zw,70.31,96.0,92.0,7.45,-20.19
298,petropavlovsk-kamchatskiy,ru,35.6,93.0,90.0,6.71,53.05
299,yumen,cn,31.03,55.0,0.0,4.43,40.29
300,khash,ir,41.24,83.0,0.0,2.53,28.22
301,klyuchi,ru,12.98,88.0,64.0,3.09,52.25
302,hay river,ca,12.2,72.0,20.0,4.7,60.82
303,longyearbyen,sj,3.2,59.0,0.0,14.99,78.22
304,samarai,pg,82.15,100.0,56.0,15.17,-10.62
305,fortuna,us,55.4,93.0,0.0,2.24,38.18
306,adre,td,65.27,38.0,0.0,4.65,13.47
